track_name,track_artist,track_popularity,id,playlist_genre,uri,duration_ms,acousticness,energy
Should I Stay or Should I Go - Remastered,The Clash,80,39shmbIHICJ2Wxnk1fPSdz,rock,spotify:track:39shmbIHICJ2Wxnk1fPSdz,188987,0.0804,0.836
Another One Bites The Dust - Remastered 2011,Queen,71,57JVGBtBLCfHw2muk5416J,rock,spotify:track:57JVGBtBLCfHw2muk5416J,214653,0.115,0.528
Uprising,Muse,75,4VqPOruhp5EdPBeR92t6lQ,rock,spotify:track:4VqPOruhp5EdPBeR92t6lQ,304840,0.000202,0.905
For What It's Worth,Buffalo Springfield,76,1qRA5BS78u3gME0loMl9AA,rock,spotify:track:1qRA5BS78u3gME0loMl9AA,153693,0.406,0.519
You Really Got Me - 2015 Remaster,Van Halen,68,0upLyFR8Rr52ZpMp5esQoq,rock,spotify:track:0upLyFR8Rr52ZpMp5esQoq,156147,0.0223,0.946
Black Hole Sun,Soundgarden,76,2EoOZnxNgtmZaD8uUmz2nD,rock,spotify:track:2EoOZnxNgtmZaD8uUmz2nD,318587,0.000217,0.828
Black Magic Woman - Single Version,Santana,70,4YMQXzscifAREG0a7KNGhB,rock,spotify:track:4YMQXzscifAREG0a7KNGhB,196467,0.676,0.349
Fly Away,Lenny Kravitz,73,1OxcIUqVmVYxT6427tbhDW,rock,spotify:track:1OxcIUqVmVYxT6427tbhDW,221333,0.018,0.872
Message In A Bottle,The Police,75,1oYYd2gnWZYrt89EBXdFiO,rock,spotify:track:1oYYd2gnWZYrt89EBXdFiO,290280,0.0338,0.808
Heroes - 2017 Remaster,David Bowie,72,7Jh1bpe76CNTCgdgAdBw4Z,rock,spotify:track:7Jh1bpe76CNTCgdgAdBw4Z,371413,0.000678,0.758
Immigrant Song - Remaster,Led Zeppelin,75,78lgmZwycJ3nzsdgmPPGNx,rock,spotify:track:78lgmZwycJ3nzsdgmPPGNx,146250,0.013,0.932
Mr. Blue Sky,Electric Light Orchestra,76,2RlgNHKcydI9sayD2Df2xp,rock,spotify:track:2RlgNHKcydI9sayD2Df2xp,303373,0.652,0.338
Back In Black,AC/DC,83,08mG3Y1vljYA6bvDt4Wqkj,rock,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,255493,0.011,0.7
Barracuda,Heart,74,4KfSdst7rW39C0sfhArdrz,rock,spotify:track:4KfSdst7rW39C0sfhArdrz,261933,0.015,0.691
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,79,3gdewACMIVMEWVbyb8O9sY,rock,spotify:track:3gdewACMIVMEWVbyb8O9sY,281613,0.433,0.532
Heart-Shaped Box,Nirvana,79,11LmqTE2naFULdEP94AUBa,rock,spotify:track:11LmqTE2naFULdEP94AUBa,281160,0.199,0.641
Life in the Fast Lane - 2013 Remaster,Eagles,68,6gXrEUzibufX9xYPk3HD5p,rock,spotify:track:6gXrEUzibufX9xYPk3HD5p,286220,0.0966,0.755
Africa,TOTO,83,2374M0fQpWi3dLnB54qaLX,rock,spotify:track:2374M0fQpWi3dLnB54qaLX,295893,0.257,0.373
(Don't Fear) The Reaper,Blue Öyster Cult,75,5QTxFnGygVM4jFQiBovmRo,rock,spotify:track:5QTxFnGygVM4jFQiBovmRo,308120,0.0029,0.927
1979 - Remastered 2012,The Smashing Pumpkins,77,5QLHGv0DfpeXLNFo7SFEy1,rock,spotify:track:5QLHGv0DfpeXLNFo7SFEy1,266200,0.0163,0.787
Comfortably Numb,Pink Floyd,71,5HNCy40Ni5BZJFw1TKzRsC,rock,spotify:track:5HNCy40Ni5BZJFw1TKzRsC,382297,0.15,0.366
Black Dog - Remaster,Led Zeppelin,69,3qT4bUD1MaWpGrTwcvguhb,rock,spotify:track:3qT4bUD1MaWpGrTwcvguhb,295387,0.396,0.864
No One Knows,Queens of the Stone Age,69,6y20BV5L33R8YXM0YuI38N,rock,spotify:track:6y20BV5L33R8YXM0YuI38N,278747,0.0368,0.584
Long Train Runnin',The Doobie Brothers,69,4nXkbcTj3nyww1cHkw5RAP,rock,spotify:track:4nXkbcTj3nyww1cHkw5RAP,207267,0.0916,0.912
Loser,Beck,69,5PntSbMHC1ud6Vvl8x56qd,rock,spotify:track:5PntSbMHC1ud6Vvl8x56qd,235000,0.0337,0.611
American Pie,Don McLean,74,1fDsrQ23eTAVFElUMaf38X,rock,spotify:track:1fDsrQ23eTAVFElUMaf38X,516893,0.7,0.482
Roxanne,The Police,77,3EYOJ48Et32uATr9ZmLnAo,rock,spotify:track:3EYOJ48Et32uATr9ZmLnAo,191947,0.0384,0.748
My Sharona,The Knack,69,1HOMkjp0nHMaTnfAkslCQj,rock,spotify:track:1HOMkjp0nHMaTnfAkslCQj,295400,0.0589,0.7
Walk On the Wild Side,Lou Reed,74,5p3JunprHCxClJjOmcLV8G,rock,spotify:track:5p3JunprHCxClJjOmcLV8G,254173,0.683,0.318
The Boys Are Back In Town,Thin Lizzy,70,43DeSV93pJPT4lCZaWZ6b1,rock,spotify:track:43DeSV93pJPT4lCZaWZ6b1,266720,0.234,0.706
Highway to Hell,AC/DC,84,2zYzyRzz6pRmhPzyfMEC8s,rock,spotify:track:2zYzyRzz6pRmhPzyfMEC8s,208400,0.061,0.913
Vienna,Billy Joel,79,4U45aEWtQhrm8A5mxPaFZ7,rock,spotify:track:4U45aEWtQhrm8A5mxPaFZ7,214240,0.659,0.495
Alive,Pearl Jam,73,1L94M3KIu7QluZe63g64rv,rock,spotify:track:1L94M3KIu7QluZe63g64rv,340907,0.00752,0.875
The Best,Tina Turner,69,6pPWRBubXOBAHnjl5ZIujB,rock,spotify:track:6pPWRBubXOBAHnjl5ZIujB,329800,0.108,0.737
Give It Away,Red Hot Chili Peppers,72,0uppYCG86ajpV2hSR3dJJ0,rock,spotify:track:0uppYCG86ajpV2hSR3dJJ0,282907,0.00244,0.936
Good Riddance (Time of Your Life),Green Day,79,6ORqU0bHbVCRjXm9AjyHyZ,rock,spotify:track:6ORqU0bHbVCRjXm9AjyHyZ,153467,0.183,0.432
The Boys Of Summer,Don Henley,73,4gvea7UlDkAvsJBPZAd4oB,rock,spotify:track:4gvea7UlDkAvsJBPZAd4oB,288733,0.501,0.549
Break on Through (To the Other Side),The Doors,72,6ToM0uwxtPKo9CMpbPGYvM,rock,spotify:track:6ToM0uwxtPKo9CMpbPGYvM,145867,0.2,0.751
Sabotage,Beastie Boys,71,0Puj4YlTm6xNzDDADXHMI9,rock,spotify:track:0Puj4YlTm6xNzDDADXHMI9,178440,0.032,0.938
Pour Some Sugar On Me - Remastered 2017,Def Leppard,72,0PdM2a6oIjqepoEfcJo0RO,rock,spotify:track:0PdM2a6oIjqepoEfcJo0RO,267307,0.00211,0.953
Learn to Fly,Foo Fighters,73,5OQsiBsky2k2kDKy2bX2eT,rock,spotify:track:5OQsiBsky2k2kDKy2bX2eT,235293,1.83e-05,0.919
Hit Me With Your Best Shot,Pat Benatar,70,0vOkmmJEtjuFZDzrQSFzEE,rock,spotify:track:0vOkmmJEtjuFZDzrQSFzEE,171267,0.117,0.58
Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,73,6GtX0jaNL8IjVQfrDBx81z,rock,spotify:track:6GtX0jaNL8IjVQfrDBx81z,258467,5.59e-05,0.72
Interstate Love Song - 2019 Remaster,Stone Temple Pilots,72,6qLEOZvf5gI7kWE63JE7p3,rock,spotify:track:6qLEOZvf5gI7kWE63JE7p3,194853,0.000273,0.927
London Calling - Remastered,The Clash,70,5jzma6gCzYtKB1DbEwFZKH,rock,spotify:track:5jzma6gCzYtKB1DbEwFZKH,200480,0.123,0.801
Wish You Were Here,Pink Floyd,75,6mFkJmJqdDVQ1REhVfGgd1,rock,spotify:track:6mFkJmJqdDVQ1REhVfGgd1,334744,0.735,0.262
Free Fallin',Tom Petty,75,5tVA6TkbaAH9QMITTQRrNv,rock,spotify:track:5tVA6TkbaAH9QMITTQRrNv,256000,0.212,0.449
No Rain,Blind Melon,73,6txWz9UapYHVxEd7dDIHXT,rock,spotify:track:6txWz9UapYHVxEd7dDIHXT,217107,0.619,0.476
Panama - 2015 Remaster,Van Halen,72,05RgAMGypEvqhNs5hPCbMS,rock,spotify:track:05RgAMGypEvqhNs5hPCbMS,210227,0.00122,0.978
Would? (2022 Remaster),Alice In Chains,72,5sFDReWLrZHLFZFjHsjUTS,rock,spotify:track:5sFDReWLrZHLFZFjHsjUTS,206773,0.000286,0.842
